Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,6.4,2.9,5.1,1.1,Iris-versicolor
2,4.7,3.6,1.1,0.3,Iris-setosa
3,7.1,2.5,6.0,1.7,Iris-virginica
4,6.7,2.1,3.5,1.5,Iris-versicolor
5,5.0,2.9,3.5,1.7,Iris-versicolor
6,7.8,2.6,4.8,1.9,Iris-virginica
7,5.1,2.3,3.6,1.7,Iris-versicolor
8,7.1,3.3,5.4,1.5,Iris-virginica
9,6.4,3.6,6.5,1.5,Iris-virginica
10,7.3,3.6,6.7,1.6,Iris-virginica
11,6.9,3.3,4.8,1.1,Iris-versicolor
12,5.7,3.0,1.1,0.1,Iris-setosa
13,5.4,3.7,1.8,0.1,Iris-setosa
14,6.2,3.1,6.1,1.9,Iris-virginica
15,5.3,3.0,3.5,1.3,Iris-versicolor
16,6.7,3.0,4.3,1.8,Iris-versicolor
17,5.3,3.1,1.3,0.2,Iris-setosa
18,7.5,3.8,6.4,2.4,Iris-virginica
19,5.7,3.3,1.2,0.2,Iris-setosa
20,4.6,3.5,1.7,0.1,Iris-setosa
21,7.1,2.7,6.0,2.0,Iris-virginica
22,5.4,3.3,3.9,1.7,Iris-versicolor
23,5.5,3.2,1.1,0.3,Iris-setosa
24,5.7,2.5,4.8,1.2,Iris-versicolor
25,5.3,2.4,5.1,1.5,Iris-versicolor
26,6.2,2.6,4.5,2.2,Iris-virginica
27,6.2,2.2,4.7,2.4,Iris-virginica
28,4.4,2.4,1.1,0.4,Iris-setosa
29,4.9,2.4,1.2,0.4,Iris-setosa
30,6.3,2.4,3.7,1.6,Iris-versicolor
31,7.6,3.1,6.5,2.0,Iris-virginica
32,5.0,3.1,4.6,1.1,Iris-versicolor
33,6.9,2.2,6.5,1.7,Iris-virginica
34,4.8,2.9,1.2,0.6,Iris-setosa
35,5.2,3.1,5.2,2.1,Iris-virginica
36,5.6,3.9,1.2,0.1,Iris-setosa
37,5.9,3.1,4.7,1.2,Iris-versicolor
38,7.3,2.4,6.6,2.3,Iris-virginica
39,6.1,3.1,5.1,2.2,Iris-virginica
40,6.8,2.3,4.2,1.5,Iris-versicolor
41,5.3,2.6,3.9,1.2,Iris-versicolor
42,7.7,3.3,6.7,2.1,Iris-virginica
43,5.6,4.0,1.3,0.1,Iris-setosa
44,7.3,3.6,6.4,1.7,Iris-virginica
45,6.8,2.8,6.9,2.0,Iris-virginica
46,5.1,2.9,1.5,0.5,Iris-setosa
47,5.8,2.7,3.3,1.2,Iris-versicolor
48,6.9,2.8,4.1,1.6,Iris-versicolor
49,6.8,2.6,6.3,2.0,Iris-virginica
50,7.3,2.6,4.6,1.6,Iris-virginica
51,5.7,3.4,3.6,1.6,Iris-versicolor
52,5.1,4.3,1.3,0.4,Iris-setosa
53,5.2,3.3,3.2,1.1,Iris-versicolor
54,5.6,3.6,1.7,0.5,Iris-setosa
55,5.8,3.6,1.5,0.4,Iris-setosa
56,5.9,2.8,3.6,1.7,Iris-versicolor
57,5.6,2.4,6.4,2.4,Iris-virginica
58,4.7,3.6,1.5,0.2,Iris-setosa
59,5.6,4.3,1.1,0.3,Iris-setosa
60,5.1,2.6,3.9,1.4,Iris-versicolor
61,6.9,3.7,4.8,1.5,Iris-virginica
62,7.7,2.4,6.8,1.6,Iris-virginica
63,4.6,3.8,1.1,0.3,Iris-setosa
64,6.1,3.0,3.3,1.2,Iris-versicolor
65,4.7,4.3,1.6,0.4,Iris-setosa
66,5.3,2.4,1.2,0.2,Iris-setosa
67,5.8,3.1,4.5,1.7,Iris-virginica
68,5.3,2.4,5.2,2.4,Iris-virginica
69,5.9,2.3,3.8,1.0,Iris-versicolor
70,5.1,2.6,5.1,1.8,Iris-versicolor
71,6.1,2.1,5.1,1.7,Iris-versicolor
72,5.8,3.4,1.9,0.5,Iris-setosa
73,5.9,2.6,5.0,1.8,Iris-versicolor
74,6.1,2.9,3.5,1.1,Iris-versicolor
75,5.5,3.6,1.8,0.4,Iris-setosa
76,7.1,2.7,5.2,1.8,Iris-virginica
77,4.3,3.0,1.0,0.6,Iris-setosa
78,5.5,3.8,1.3,0.2,Iris-setosa
79,4.3,2.7,1.6,0.4,Iris-setosa
80,5.6,3.0,1.6,0.3,Iris-setosa
81,4.3,3.8,1.6,0.4,Iris-setosa
82,5.1,2.7,1.8,0.5,Iris-setosa
83,5.6,2.8,3.5,1.2,Iris-versicolor
84,5.4,3.4,1.7,0.4,Iris-setosa
85,4.4,2.8,1.1,0.2,Iris-setosa
86,5.3,2.2,5.0,1.5,Iris-versicolor
87,6.1,3.2,4.9,2.4,Iris-virginica
88,5.0,3.4,5.3,2.4,Iris-virginica
89,4.9,3.7,5.8,2.2,Iris-virginica
90,6.1,2.7,4.8,1.9,Iris-virginica
91,5.8,2.3,4.1,1.6,Iris-versicolor
92,5.4,2.4,1.2,0.2,Iris-setosa
93,5.6,3.5,5.6,1.7,Iris-virginica
94,4.9,2.8,1.9,0.4,Iris-setosa
95,6.9,2.7,5.3,2.3,Iris-virginica
96,5.8,2.8,4.1,1.7,Iris-versicolor
97,6.7,3.2,3.8,1.1,Iris-versicolor
98,5.0,4.3,1.8,0.2,Iris-setosa
99,5.9,3.6,6.8,1.7,Iris-virginica
100,5.0,2.8,4.1,1.7,Iris-versicolor
