batter,batsman_run,Double_Runs,Half_Runs
A Ashish Reddy,280,560,140
A Badoni,161,322,80
A Chandila,4,8,2
A Chopra,53,106,26
A Choudhary,25,50,12
A Dananjaya,4,8,2
A Flintoff,62,124,31
A Kumble,35,70,17
A Manohar,108,216,54
A Mishra,362,724,181
A Mithun,34,68,17
A Mukund,19,38,9
A Nehra,41,82,20
A Nortje,8,16,4
A Singh,2,4,1
A Symonds,974,1948,487
A Tomar,4,8,2
A Uniyal,4,8,2
A Zampa,5,10,2
AA Bilakhia,69,138,34
AA Chavan,12,24,6
AA Jhunjhunwala,217,434,108
AA Noffke,9,18,4
AB Agarkar,179,358,89
AB Barath,42,84,21
AB Dinda,26,52,13
AB McDonald,123,246,61
AB de Villiers,5181,10362,2590
AC Blizzard,120,240,60
AC Gilchrist,2069,4138,1034
AC Thomas,20,40,10
AC Voges,181,362,90
AD Hales,148,296,74
AD Mascarenhas,79,158,39
AD Mathews,724,1448,362
AD Nath,90,180,45
AD Russell,2039,4078,1019
AF Milne,23,46,11
AG Murtaza,10,20,5
AG Paunikar,49,98,24
AJ Finch,2092,4184,1046
AJ Turner,3,6,1
AJ Tye,91,182,45
AK Markram,527,1054,263
AL Menaria,401,802,200
AM Nayar,672,1344,336
AM Rahane,4074,8148,2037
AN Ahmed,36,72,18
AN Ghosh,7,14,3
AP Dole,34,68,17
AP Majumdar,87,174,43
AP Tare,339,678,169
AR Bawne,12,24,6
AR Patel,1135,2270,567
AS Joseph,20,40,10
AS Rajpoot,26,52,13
AS Raut,194,388,97
AS Roy,0,0,0
AS Yadav,49,98,24
AT Carey,32,64,16
AT Rayudu,4190,8380,2095
AUK Pathan,39,78,19
Abdul Samad,228,456,114
Abdur Razzak,0,0,0
Abhishek Sharma,667,1334,333
Akash Deep,0,0,0
Aman Hakim Khan,5,10,2
Anirudh Singh,63,126,31
Ankit Sharma,87,174,43
Ankit Soni,7,14,3
Anmolpreet Singh,29,58,14
Anuj Rawat,129,258,64
Anureet Singh,36,72,18
Arshdeep Singh,23,46,11
Avesh Khan,31,62,15
Azhar Mahmood,388,776,194
B Akhil,76,152,38
B Chipli,280,560,140
B Indrajith,21,42,10
B Kumar,241,482,120
B Laughlin,5,10,2
B Lee,124,248,62
B Sai Sudharsan,145,290,72
B Stanlake,5,10,2
B Sumanth,35,70,17
BA Bhatt,6,12,3
BA Stokes,920,1840,460
BAW Mendis,3,6,1
BB McCullum,2882,5764,1441
BB Samantray,125,250,62
BB Sran,10,20,5
BCJ Cutting,238,476,119
BE Hendricks,1,2,0
BJ Haddin,18,36,9
BJ Hodge,1400,2800,700
BJ Rohrer,193,386,96
BMAJ Mendis,23,46,11
BR Dunk,40,80,20
Basil Thampi,32,64,16
Bipul Sharma,187,374,93
C Madan,15,30,7
C Munro,177,354,88
C Nanda,0,0,0
C Sakariya,16,32,8
C de Grandhomme,303,606,151
CA Ingram,205,410,102
CA Lynn,1329,2658,664
CA Pujara,390,780,195
CH Gayle,4997,9994,2498
CH Morris,618,1236,309
CJ Anderson,538,1076,269
CJ Ferguson,98,196,49
CJ Jordan,75,150,37
CJ McKay,8,16,4
CK Kapugedera,16,32,8
CK Langeveldt,8,16,4
CL White,971,1942,485
CM Gautam,169,338,84
CR Brathwaite,181,362,90
CR Woakes,78,156,39
CRD Fernando,4,8,2
CV Varun,24,48,12
D Brevis,161,322,80
D Kalyankrishna,3,6,1
D Padikkal,1260,2520,630
D Pretorius,44,88,22
D Salunkhe,33,66,16
D Wiese,127,254,63
D du Preez,10,20,5
DA Miller,2455,4910,1227
DA Warner,5883,11766,2941
DAJ Bracewell,12,24,6
DB Das,304,608,152
DB Ravi Teja,375,750,187
DE Bollinger,21,42,10
DH Yagnik,170,340,85
DJ Bravo,1560,3120,780
DJ Harris,111,222,55
DJ Hooda,1237,2474,618
DJ Hussey,1322,2644,661
DJ Jacobs,92,184,46
DJ Malan,26,52,13
DJ Mitchell,33,66,16
DJ Muthuswami,1,2,0
DJ Thornely,39,78,19
DJ Willey,18,36,9
DJG Sammy,295,590,147
DJM Short,115,230,57
DL Chahar,79,158,39
DL Vettori,121,242,60
DM Bravo,6,12,3
DNT Zoysa,11,22,5
DP Conway,252,504,126
DP Nannes,4,8,2
DP Vijaykumar,1,2,0
DPMD Jayawardene,1808,3616,904
DR Martyn,19,38,9
DR Sams,44,88,22
DR Shorey,13,26,6
DR Smith,2385,4770,1192
DS Kulkarni,104,208,52
DS Lehmann,18,36,9
DT Christian,460,920,230
DT Patil,13,26,6
DW Steyn,167,334,83
E Lewis,654,1308,327
EJG Morgan,1406,2812,703
ER Dwivedi,24,48,12
F Behardien,14,28,7
F du Plessis,3403,6806,1701
FA Allen,14,28,7
FH Edwards,4,8,2
FY Fazal,183,366,91
Fazalhaq Farooqi,2,4,1
G Gambhir,4217,8434,2108
GB Hogg,22,44,11
GC Smith,739,1478,369
GC Viljoen,3,6,1
GD McGrath,4,8,2
GD Phillips,26,52,13
GH Vihari,284,568,142
GHS Garton,2,4,1
GJ Bailey,663,1326,331
GJ Maxwell,2320,4640,1160
GR Napier,15,30,7
Gurkeerat Singh,511,1022,255
H Das,2,4,1
H Klaasen,66,132,33
HE van der Dussen,22,44,11
HF Gurney,1,2,0
HH Gibbs,886,1772,443
HH Pandya,1972,3944,986
HM Amla,577,1154,288
HR Shokeen,43,86,21
HV Patel,230,460,115
Harbhajan Singh,833,1666,416
Harmeet Singh,18,36,9
Harpreet Brar,106,212,53
Harpreet Singh,20,40,10
Harshit Rana,2,4,1
I Malhotra,7,14,3
I Sharma,55,110,27
I Udana,15,30,7
IC Pandey,0,0,0
IK Pathan,1150,2300,575
IR Jaggi,76,152,38
IS Sodhi,7,14,3
Imran Tahir,33,66,16
Iqbal Abdulla,88,176,44
Ishan Kishan,1870,3740,935
J Arunkumar,23,46,11
J Botha,409,818,204
J Suchith,70,140,35
J Syed Mohammad,29,58,14
J Theron,10,20,5
J Yadav,40,80,20
JA Morkel,975,1950,487
JA Richardson,15,30,7
JC Archer,195,390,97
JC Buttler,2832,5664,1416
JD Ryder,604,1208,302
JD Unadkat,164,328,82
JDP Oram,106,212,53
JDS Neesham,92,184,46
JE Taylor,3,6,1
JEC Franklin,327,654,163
JH Kallis,2427,4854,1213
JJ Bumrah,56,112,28
JJ Roy,329,658,164
JJ van der Wath,18,36,9
JL Denly,0,0,0
JL Pattinson,15,30,7
JM Bairstow,1291,2582,645
JM Kemp,26,52,13
JM Sharma,234,468,117
JO Holder,247,494,123
JP Duminy,2029,4058,1014
JP Faulkner,527,1054,263
JPR Scantlebury-Searles,8,16,4
JR Hazlewood,18,36,9
JR Hopes,417,834,208
JR Philippe,78,156,39
Jaskaran Singh,8,16,4
Joginder Sharma,36,72,18
K Goel,218,436,109
K Gowtham,186,372,93
K Kartikeya,3,6,1
K Rabada,186,372,93
K Upadhyay,12,24,6
K Yadav,0,0,0
KA Jamieson,65,130,32
KA Pollard,3437,6874,1718
KAJ Roach,10,20,5
KB Arun Karthik,51,102,25
KC Cariappa,24,48,12
KC Sangakkara,1687,3374,843
KD Karthik,4377,8754,2188
KH Pandya,1326,2652,663
KJ Abbott,13,26,6
KK Ahmed,1,2,0
KK Cooper,116,232,58
KK Nair,1496,2992,748
KL Nagarkoti,22,44,11
KL Rahul,3895,7790,1947
KM Jadhav,1196,2392,598
KMA Paul,18,36,9
KMDN Kulasekara,5,10,2
KP Appanna,2,4,1
KP Pietersen,1001,2002,500
KR Sen,0,0,0
KS Bharat,199,398,99
KS Sharma,4,8,2
KS Williamson,2105,4210,1052
KV Sharma,317,634,158
KW Richardson,36,72,18
Kamran Akmal,128,256,64
Kamran Khan,3,6,1
Karanveer Singh,12,24,6
Kartik Tyagi,13,26,6
Kuldeep Yadav,105,210,52
L Ablish,0,0,0
L Balaji,36,72,18
L Ronchi,34,68,17
LA Carseldine,81,162,40
LA Pomersbach,302,604,151
LE Plunkett,1,2,0
LH Ferguson,67,134,33
LJ Wright,106,212,53
LMP Simmons,1079,2158,539
LPC Silva,40,80,20
LR Shukla,405,810,202
LRPL Taylor,1017,2034,508
LS Livingstone,549,1098,274
Lalit Yadav,229,458,114
M Ashwin,35,70,17
M Jansen,9,18,4
M Kaif,259,518,129
M Kartik,113,226,56
M Klinger,73,146,36
M Manhas,514,1028,257
M Markande,27,54,13
M Morkel,126,252,63
M Muralitharan,20,40,10
M Ntini,11,22,5
M Prasidh Krishna,9,18,4
M Rawat,55,110,27
M Shahrukh Khan,270,540,135
M Theekshana,7,14,3
M Vijay,2619,5238,1309
M Vohra,1073,2146,536
M de Lange,1,2,0
MA Agarwal,2335,4670,1167
MA Khote,24,48,12
MA Starc,96,192,48
MA Wood,1,2,0
MC Henriques,1000,2000,500
MC Juneja,125,250,62
MD Mishra,237,474,118
MDKJ Perera,14,28,7
MEK Hussey,1977,3954,988
MF Maharoof,177,354,88
MG Johnson,167,334,83
MJ Clarke,98,196,49
MJ Guptill,271,542,135
MJ Lumb,278,556,139
MJ McClenaghan,85,170,42
MJ Santner,54,108,27
MK Lomror,267,534,133
MK Pandey,3657,7314,1828
MK Tiwary,1695,3390,847
ML Hayden,1107,2214,553
MM Ali,910,1820,455
MM Patel,39,78,19
MM Sharma,122,244,61
MN Samuels,161,322,80
MN van Wyk,167,334,83
MP Stoinis,1070,2140,535
MR Marsh,476,952,238
MS Bisla,798,1596,399
MS Dhoni,4978,9956,2489
MS Gony,99,198,49
MS Wade,179,358,89
MV Boucher,394,788,197
Mandeep Singh,1692,3384,846
Mashrafe Mortaza,2,4,1
Misbah-ul-Haq,117,234,58
Mohammad Ashraful,2,4,1
Mohammad Asif,3,6,1
Mohammad Hafeez,64,128,32
Mohammad Nabi,186,372,93
Mohammed Shami,69,138,34
Mohammed Siraj,96,192,48
Mohsin Khan,23,46,11
Mujeeb Ur Rahman,12,24,6
Mukesh Choudhary,6,12,3
Mustafizur Rahman,12,24,6
N Jagadeesan,73,146,36
N Pooran,912,1824,456
N Rana,2181,4362,1090
N Saini,140,280,70
ND Doshi,0,0,0
NJ Maddinson,20,40,10
NJ Rimmington,1,2,0
NK Patel,121,242,60
NL McCullum,26,52,13
NLTC Perera,424,848,212
NM Coulter-Nile,82,164,41
NS Naik,31,62,15
NT Ellis,18,36,9
NV Ojha,1554,3108,777
Navdeep Saini,33,66,16
OA Shah,506,1012,253
OC McCoy,8,16,4
OF Smith,51,102,25
P Awana,5,10,2
P Chopra,8,16,4
P Dogra,127,254,63
P Dubey,7,14,3
P Kumar,340,680,170
P Negi,365,730,182
P Parameswaran,1,2,0
P Ray Barman,19,38,9
P Sahu,19,38,9
P Simran Singh,64,128,32
PA Patel,2848,5696,1424
PA Reddy,164,328,82
PBB Rajapaksa,206,412,103
PC Valthaty,505,1010,252
PD Collingwood,203,406,101
PJ Cummins,379,758,189
PJ Sangwan,26,52,13
PK Garg,251,502,125
PM Sarvesh Kumar,1,2,0
PN Mankad,4,8,2
PP Chawla,584,1168,292
PP Ojha,16,32,8
PP Shaw,1588,3176,794
PR Shah,92,184,46
PSP Handscomb,6,12,3
PV Tambe,18,36,9
